id;school_name;address;phone_number;email;principal_name;school_description
1;transmitting deposit tolerancia;escalable Negro;online;Ramn24@yahoo.com;compress Bacon;optical Juguetería
2;hack Fantástico;Administrador;convergence;Ana_Aponte42@yahoo.com;Entrada portals;Investment
3;Directo;24 Account generating;vortals Operativo Aplicaciones;JorgeLuis16@yahoo.com;bypassing;Identidad
4;Granito Account;Plástico optical;multi-byte Amarillo;Josefina75@yahoo.com;Saint Metal;misión cross-platform
5;monitorizada Grupo Barrio;Solomon Optimización;Pantalones Borders;Lorenzo_Enrquez66@gmail.com;quantifying complejidad port;Rústico
6;Ordenador Berkshire;Silla Guapa Práctico;CSS;Rubn.Villaseor@gmail.com;Cine;Oficial Metal Fantástico
7;Rojo Comunidad transicional;Inversor;sexy Bután Amarillo;AnaMara.Carbajal66@hotmail.com;nacional Checa;Albania
8;Morado New Sabroso;Técnico input;Facilitador;Hugo_Echevarra@gmail.com;Distrito Director;Calleja Ejecutivo
9;Arquitecto;transmit Granito Nakfa;generate Increible Música;Gilberto.Delgadillo@hotmail.com;Colombia;Ladrillo compress Futuro
10;Central utilización;end-to-end Buckinghamshire;web Manat Hormigon;Lilia26@yahoo.com;Facilitador cross-media;invoice base
